,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Panguna,64,PG,1552023841,86,-6.32,155.48,27.62,1.51
1,Yellowknife,5,CA,1552023546,84,62.45,-114.38,-16.67,2.1
2,Vaini,0,IN,1552021200,15,15.34,74.49,32,3.1
3,Albany,20,US,1552023660,56,42.65,-73.75,-8.89,1.5
4,Prince George,1,CA,1552023619,92,53.92,-122.75,-4.44,0.91
5,Port Alfred,92,ZA,1552023646,96,-33.59,26.89,17.22,0.89
6,Vranje,0,RS,1552023374,93,42.55,21.9,9.44,0.5
7,Mahebourg,40,MU,1552023243,66,-20.41,57.7,30,1.5
8,Ushuaia,24,AR,1552023843,100,-54.81,-68.31,-1.51,1.36
9,Chokurdakh,56,RU,1552023843,77,70.62,147.9,-24.56,1.36
10,Kapuskasing,5,CA,1552021200,78,49.42,-82.43,-12,6.7
11,Cabo San Lucas,5,MX,1552023317,29,22.89,-109.91,25,4.6
12,Chumikan,80,RU,1552023844,70,54.72,135.31,-1.01,2.01
13,Georgetown,20,GY,1552021200,100,6.8,-58.16,23,3.16
14,Nadym,36,RU,1552023845,85,65.53,72.51,-13.01,7.66
15,Longyearbyen,0,NO,1552022400,64,78.22,15.63,-19,2.6
16,Carnarvon,0,ZA,1552023845,72,-30.97,22.13,14.64,6.96
17,Punta Arenas,20,CL,1552023791,70,-53.16,-70.91,7,8.7
18,San Quintin,20,PH,1552023846,48,17.54,120.52,30.84,2.71
19,Luanda,75,AO,1552021200,83,-8.83,13.24,27,1
20,Romny,56,UA,1552023846,90,50.74,33.49,2.74,8.36
21,Hamilton,75,BM,1552023569,62,32.3,-64.78,15,5.1
22,Lebu,88,ET,1552023847,73,8.96,38.73,15.39,1.21
23,Tessalit,0,ML,1552023847,30,20.2,1.01,10.54,2.76
24,Hermanus,80,ZA,1552023084,95,-34.42,19.24,16.11,0.45
25,Naze,0,NG,1552023848,93,5.43,7.07,22.79,1.86
26,Sangar,56,RU,1552023848,58,63.92,127.47,-11.94,3.01
27,Butaritari,88,KI,1552023848,100,3.07,172.79,27.79,5.46
28,Constitucion,0,MX,1552023615,29,23.99,-104.67,16.11,3.58
29,Atuona,64,PF,1552023849,97,-9.8,-139.03,28.44,7.61
30,Saskylakh,24,RU,1552023849,74,71.97,114.09,-21.79,3.91
31,Vitim,80,RU,1552023849,59,59.44,112.57,-7.61,3.56
32,Huicungo,32,PE,1552023849,94,-7.28,-76.8,22.84,0.46
33,Cayenne,0,GF,1552023000,94,4.94,-52.33,22,0.5
34,Salinopolis,68,BR,1552023850,100,-0.61,-47.36,25.22,2.26
35,Carballo,40,ES,1552023510,93,43.21,-8.69,9.44,1.11
36,Mar del Plata,0,AR,1552023719,100,-46.43,-67.52,5.19,0.71
37,Arraial do Cabo,12,BR,1552023850,89,-22.97,-42.02,26.72,6.26
38,Saint-Pierre,40,FR,1552023725,93,48.95,4.24,6,6.2
39,Narsaq,68,GL,1552023851,78,60.91,-46.05,-3.71,6.81
40,Liepaja,68,LV,1552020600,87,56.52,21.02,6,5.1
41,Usinsk,76,RU,1552023852,87,66,57.56,-8.94,6.06
42,Copperas Cove,1,US,1552023590,82,31.12,-97.9,18.33,2.6
43,Nacimiento,8,CL,1552023852,89,-37.5,-72.67,10.49,4.21
44,Lundazi,92,ZM,1552023853,87,-12.29,33.17,20.12,2.31
45,Clyde River,90,CA,1552021200,83,70.47,-68.59,-20,9.3
46,Saldanha,12,PT,1552023853,83,41.42,-6.55,-1.54,1.21
47,Acapulco,5,MX,1552020360,94,16.86,-99.88,26,1.86
48,Busselton,48,AU,1552023615,36,-33.64,115.35,28.33,1.66
49,Jamestown,12,AU,1552023854,32,-33.21,138.6,26.29,2.91
50,Rikitea,44,PF,1552023855,100,-23.12,-134.97,26.69,7.06
51,Victoria,75,BN,1552021200,74,5.28,115.24,30,1.5
52,Kruisfontein,100,ZA,1552023856,100,-34,24.73,18.32,6.01
53,Kavieng,76,PG,1552023856,100,-2.57,150.8,27.74,1.11
54,Faanui,92,PF,1552023856,97,-16.48,-151.75,29.37,8.61
55,Roald,40,NO,1552023076,92,62.58,6.12,0,2.6
56,Tuktoyaktuk,90,CA,1552021200,92,69.44,-133.03,-7,3.6
57,Barrow,8,AR,1552023857,73,-38.31,-60.23,15.07,7.01
58,Tasiilaq,0,GL,1552020600,49,65.61,-37.64,-4,7.2
59,Bredasdorp,88,ZA,1552023084,87,-34.53,20.04,15,1.5
60,Bure,12,NG,1552023858,32,10.52,10.33,19.87,2.86
61,Nanortalik,88,GL,1552023858,95,60.14,-45.24,-0.56,8.86
62,East London,40,ZA,1552021200,94,-33.02,27.91,20,6.7
63,Tarakan,75,ID,1552021200,70,3.3,117.63,30,1
64,Provideniya,68,RU,1552023859,100,64.42,-173.23,-4.29,12.31
65,Luderitz,0,NA,1552023859,79,-26.65,15.16,17.09,8.76
66,Touros,40,BR,1552021200,94,-5.2,-35.46,25,1.5
67,Kwekwe,0,ZW,1552023859,81,-18.93,29.81,19.39,3.41
68,Fortuna,0,ES,1552023811,57,38.18,-1.13,10,1
69,Mataura,8,NZ,1552023605,66,-46.19,168.86,15.56,2.24
70,Airai,92,TL,1552023860,96,-8.93,125.41,20.89,1.06
71,Aksu,90,KZ,1552023000,79,52.04,76.93,-4,5
72,Cape Town,20,ZA,1552023752,67,-33.93,18.42,17.22,9.8
73,Sobolevo,64,RU,1552023861,93,54.43,31.9,6.07,7.91
74,Hella,32,IS,1552023010,78,63.84,-20.4,-5,15.01
75,Kapaa,90,US,1552023810,83,22.08,-159.32,23,9.8
76,Ribeira Grande,92,PT,1552023861,94,38.52,-28.7,16.44,7.46
77,Hasaki,20,JP,1552023276,37,35.73,140.83,13.89,4.1
78,Seydi,8,NE,1552023862,30,13.34,7.75,19.09,4.01
